deal_index,rotation_index,seed,seat_0_agent,seat_1_agent,seat_2_agent,seat_3_agent,winner_seat,winner_agent,finish_order,seat_0_rank,seat_1_rank,seat_2_rank,seat_3_rank,seat_0_cards_left,seat_1_cards_left,seat_2_cards_left,seat_3_cards_left,turns_played,timed_out
1,1,2621066289095063448,Ours,Random,Greedy,Heuristic,2,Greedy,2 0 1 3,2,3,1,4,0,0,0,1,39,0
1,2,5706566411848140243,Heuristic,Ours,Random,Greedy,3,Greedy,3 1 2 0,4,2,3,1,1,0,0,0,35,0
1,3,1335103548935505844,Greedy,Heuristic,Ours,Random,2,Ours,2 3 0 1,3,4,1,2,0,2,0,0,39,0
1,4,7607964253524701662,Random,Greedy,Heuristic,Ours,3,Ours,3 2 0 1,3,4,2,1,0,1,0,0,40,0
2,1,6594812442806946079,Ours,Random,Greedy,Heuristic,3,Heuristic,3 1 0 2,3,2,4,1,0,0,1,0,44,0
2,2,4731416524921132444,Heuristic,Ours,Random,Greedy,3,Greedy,3 0 1 2,2,3,4,1,0,0,1,0,39,0
2,3,3959083603263542929,Greedy,Heuristic,Ours,Random,2,Ours,2 0 1 3,2,3,1,4,0,0,0,1,33,0
2,4,6466075320274238363,Random,Greedy,Heuristic,Ours,3,Ours,3 0 1 2,2,3,4,1,0,0,1,0,42,0
3,1,4662793079016494139,Ours,Random,Greedy,Heuristic,1,Random,1 3 0 2,3,1,4,2,0,0,1,0,36,0
3,2,8392232300161116634,Heuristic,Ours,Random,Greedy,1,Ours,1 2 0 3,3,1,2,4,0,0,0,1,33,0
3,3,6943973890856383748,Greedy,Heuristic,Ours,Random,0,Greedy,0 2 1 3,1,3,2,4,0,0,0,1,33,0
3,4,5243297868124419606,Random,Greedy,Heuristic,Ours,1,Greedy,1 3 0 2,3,1,4,2,0,0,1,0,41,0
4,1,7497728836029544538,Ours,Random,Greedy,Heuristic,3,Heuristic,3 1 2 0,4,2,3,1,1,0,0,0,38,0
4,2,148309596463651356,Heuristic,Ours,Random,Greedy,1,Ours,1 3 2 0,4,1,3,2,1,0,0,0,41,0
4,3,6331584252363115589,Greedy,Heuristic,Ours,Random,3,Random,3 1 2 0,4,2,3,1,1,0,0,0,38,0
4,4,7359948229716545057,Random,Greedy,Heuristic,Ours,3,Ours,3 1 2 0,4,2,3,1,1,0,0,0,39,0
5,1,6559534376253685065,Ours,Random,Greedy,Heuristic,3,Heuristic,3 1 2 0,4,2,3,1,1,0,0,0,42,0
5,2,8818260360672983823,Heuristic,Ours,Random,Greedy,1,Ours,1 3 0 2,3,1,4,2,0,0,1,0,33,0
5,3,5929611828697879125,Greedy,Heuristic,Ours,Random,2,Ours,2 1 0 3,3,2,1,4,0,0,0,2,36,0
5,4,784832496110757159,Random,Greedy,Heuristic,Ours,3,Ours,3 0 1 2,2,3,4,1,0,0,1,0,41,0
6,1,386109743203754743,Ours,Random,Greedy,Heuristic,1,Random,1 3 2 0,4,1,3,2,1,0,0,0,35,0
6,2,5876393693980812608,Heuristic,Ours,Random,Greedy,3,Greedy,3 1 0 2,3,2,4,1,0,0,1,0,35,0
6,3,8849973749262799659,Greedy,Heuristic,Ours,Random,3,Random,3 0 1 2,2,3,4,1,0,0,1,0,37,0
6,4,3473690337373572701,Random,Greedy,Heuristic,Ours,3,Ours,3 1 0 2,3,2,4,1,0,0,1,0,36,0
7,1,4163302684834160835,Ours,Random,Greedy,Heuristic,3,Heuristic,3 0 1 2,2,3,4,1,0,0,1,0,39,0
7,2,468365747940992066,Heuristic,Ours,Random,Greedy,2,Random,2 3 0 1,3,4,1,2,0,3,0,0,39,0
7,3,173774534111221860,Greedy,Heuristic,Ours,Random,2,Ours,2 0 3 1,2,4,1,3,0,1,0,0,33,0
7,4,4901704203175485592,Random,Greedy,Heuristic,Ours,3,Ours,3 0 1 2,2,3,4,1,0,0,1,0,39,0
8,1,2255664904922989027,Ours,Random,Greedy,Heuristic,1,Random,1 0 3 2,2,1,4,3,0,0,1,0,41,0
8,2,2433060067176768623,Heuristic,Ours,Random,Greedy,1,Ours,1 2 0 3,3,1,2,4,0,0,0,1,41,0
8,3,4214606228818048308,Greedy,Heuristic,Ours,Random,1,Heuristic,1 2 3 0,4,1,2,3,1,0,0,0,43,0
8,4,646664736371763252,Random,Greedy,Heuristic,Ours,1,Greedy,1 3 2 0,4,1,3,2,1,0,0,0,37,0
9,1,8600837318155063722,Ours,Random,Greedy,Heuristic,2,Greedy,2 0 1 3,2,3,1,4,0,0,0,1,36,0
9,2,8281274467330733553,Heuristic,Ours,Random,Greedy,2,Random,2 0 1 3,2,3,1,4,0,0,0,2,34,0
9,3,848014627441924860,Greedy,Heuristic,Ours,Random,0,Greedy,0 1 3 2,1,2,4,3,0,0,1,0,37,0
9,4,4851402856311806432,Random,Greedy,Heuristic,Ours,3,Ours,3 0 1 2,2,3,4,1,0,0,3,0,32,0
10,1,6878125911324536065,Ours,Random,Greedy,Heuristic,3,Heuristic,3 0 2 1,2,4,3,1,0,2,0,0,41,0
10,2,4370572549073807594,Heuristic,Ours,Random,Greedy,3,Greedy,3 0 2 1,2,4,3,1,0,2,0,0,41,0
10,3,7463725925336596806,Greedy,Heuristic,Ours,Random,1,Heuristic,1 3 0 2,3,1,4,2,0,0,2,0,36,0
